task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status,days_until_due,urgency_score,severity_score,safety_score,importance,asset_importance_score,priority_score
M262,Engineering,AST004,S15,3.2,Track Geometry Correction,Medium,No,2026-09-29,0.5,Pending,22,0,5,3,Medium,6,34.0
M077,Engineering,AST002,S07,3.3,Sleeper Replacement,Medium,No,2026-10-04,0.5,Pending,27,0,5,3,Medium,6,34.0
M259,Engineering,AST020,S14,0.9,Ballast Inspection,Medium,No,2026-09-23,0.5,Pending,16,0,5,3,Medium,6,34.0
M030,Engineering,AST015,S13,4.0,Sleeper Replacement,Medium,No,2026-09-22,1.5,Pending,15,0,5,3,Medium,6,34.0
M116,Engineering,AST026,S17,2.8,Sleeper Replacement,Medium,No,2026-09-24,0.5,Pending,17,0,5,3,Medium,6,34.0
M238,Traction,AST089,S06,25.3,OHE Component Repair,Medium,No,2026-09-30,1.5,Pending,23,0,5,3,Medium,6,34.0
M151,S&T,AST044,S04,5.6,Axle Counter Testing,Medium,No,2026-09-23,0.5,Pending,16,0,5,3,Medium,6,34.0
M028,Traction,AST087,S09,12.4,Sectioning Equipment Check,Low,No,2026-09-30,1.0,Overdue,23,0,2,3,Medium,6,33.5
M199,Engineering,AST030,S03,7.5,Track Geometry Correction,Low,No,2026-09-15,1.0,Pending,8,2,2,3,High,10,32.5
M046,S&T,AST067,S01,20.7,Signal Fault Repair,Low,No,2026-09-12,1.0,Pending,5,5,2,3,Medium,6,31.0
M148,Engineering,AST024,S01,22.2,Sleeper Replacement,Low,No,2026-09-12,1.0,Pending,5,5,2,3,Medium,6,31.0
M255,S&T,AST058,S04,3.4,Interlocking Maintenance,Medium,No,2026-09-16,1.0,Pending,9,1,5,3,Low,3,31.0
M281,S&T,AST037,S19,0.2,Axle Counter Testing,Medium,No,2026-09-29,1.0,Pending,22,0,5,3,Low,3,29.5
M016,Traction,AST069,S18,6.5,Sectioning Equipment Check,Medium,No,2026-09-19,1.0,Pending,12,0,5,3,Low,3,29.5
M022,S&T,AST051,S09,5.5,Cable Inspection,Medium,No,2026-09-29,1.0,Pending,22,0,5,3,Low,3,29.5
M171,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-09-27,0.5,Pending,20,0,5,3,Low,3,29.5
M184,Traction,AST080,S05,24.1,Pantograph Clearance Check,Low,No,2026-09-29,1.0,Pending,22,0,2,3,High,10,29.5
M278,S&T,AST061,S11,3.7,Axle Counter Testing,Low,No,2026-09-21,1.0,Pending,14,0,2,3,High,10,29.5
M194,Engineering,AST029,S10,0.5,Rail Crack Repair,Medium,No,2026-09-26,1.0,Pending,19,0,5,3,Low,3,29.5
M174,S&T,AST055,S19,15.0,Cable Inspection,Medium,No,2026-09-18,1.0,Pending,11,0,5,3,Low,3,29.5
M219,Engineering,AST027,S06,25.1,Track Geometry Correction,Medium,No,2026-09-19,1.0,Pending,12,0,5,3,Low,3,29.5
M157,Traction,AST083,S06,2.8,Transformer Inspection,Low,No,2026-09-30,0.5,Pending,23,0,2,3,High,10,29.5
M173,S&T,AST040,S07,4.2,Signal Fault Repair,Medium,No,2026-09-18,0.5,Pending,11,0,5,3,Low,3,29.5
M167,Engineering,AST027,S06,25.1,Sleeper Replacement,Medium,No,2026-09-17,1.0,Pending,10,0,5,3,Low,3,29.5
M221,S&T,AST065,S03,5.7,Signal Inspection,Low,No,2026-09-21,1.0,Pending,14,0,2,3,High,10,29.5
M161,S&T,AST040,S07,4.2,Cable Inspection,Medium,No,2026-09-17,1.0,Pending,10,0,5,3,Low,3,29.5
M273,S&T,AST045,S04,2.7,Cable Inspection,Medium,No,2026-09-24,1.5,Pending,17,0,5,3,Low,3,29.5
M093,S&T,AST068,S04,3.7,Axle Counter Testing,Low,No,2026-09-20,1.0,Pending,13,0,2,3,High,10,29.5
M065,Engineering,AST021,S15,6.4,Track Geometry Correction,Medium,No,2026-10-04,1.5,Pending,27,0,5,3,Low,3,29.5
M076,Traction,AST076,S18,19.9,OHE Component Repair,Medium,No,2026-10-02,1.0,Pending,25,0,5,3,Low,3,29.5
M261,S&T,AST057,S20,5.5,Cable Inspection,Low,No,2026-10-02,1.0,Pending,25,0,2,3,High,10,29.5
M215,S&T,AST057,S20,5.5,Axle Counter Testing,Low,No,2026-10-03,0.5,Pending,26,0,2,3,High,10,29.5
M087,Traction,AST069,S18,6.5,Sectioning Equipment Check,Low,No,2026-09-28,1.0,Overdue,21,0,2,3,Low,3,29.0
M038,Traction,AST087,S09,12.4,OHE Component Repair,Low,No,2026-09-14,0.5,Pending,7,3,2,3,Medium,6,28.0
M186,S&T,AST042,S04,9.2,Interlocking Maintenance,Low,No,2026-09-15,1.0,Pending,8,2,2,3,Medium,6,26.5
M240,Engineering,AST029,S10,0.5,Point Maintenance,Low,No,2026-09-12,1.0,Pending,5,5,2,3,Low,3,26.5
M196,Engineering,AST033,S07,24.2,Ballast Inspection,Low,No,2026-09-12,0.5,Pending,5,5,2,3,Low,3,26.5
M048,S&T,AST053,S10,8.5,Signal Fault Repair,Low,No,2026-09-13,1.0,Pending,6,4,2,3,Low,3,25.0
M047,Engineering,AST024,S01,22.2,Sleeper Replacement,Low,No,2026-09-16,0.5,Pending,9,1,2,3,Medium,6,25.0
M044,S&T,AST049,S08,4.2,Interlocking Maintenance,Low,No,2026-09-23,1.0,Pending,16,0,2,3,Medium,6,23.5
M170,Engineering,AST022,S04,12.4,Rail Crack Repair,Low,No,2026-09-27,1.0,Pending,20,0,2,3,Medium,6,23.5
M208,Engineering,AST025,S06,24.0,Track Geometry Correction,Low,No,2026-09-14,0.5,Pending,7,3,2,3,Low,3,23.5
M172,S&T,AST067,S01,20.7,Signal Fault Repair,Low,No,2026-10-03,0.5,Pending,26,0,2,3,Medium,6,23.5
M272,Engineering,AST001,S06,11.1,Point Maintenance,Low,No,2026-09-28,1.0,Pending,21,0,2,3,Medium,6,23.5
M110,Traction,AST099,S06,15.0,Sectioning Equipment Check,Low,No,2026-09-18,0.5,Pending,11,0,2,3,Medium,6,23.5
M130,Traction,AST079,S04,10.9,Transformer Inspection,Low,No,2026-09-18,0.5,Pending,11,0,2,3,Medium,6,23.5
M141,Engineering,AST020,S14,0.9,Rail Crack Repair,Low,No,2026-09-25,1.0,Pending,18,0,2,3,Medium,6,23.5
M227,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-09-15,1.0,Pending,8,2,2,3,Low,3,22.0
M280,Traction,AST069,S18,6.5,Pantograph Clearance Check,Low,No,2026-10-01,0.5,Pending,24,0,2,3,Low,3,19.0
M145,Traction,AST085,S10,2.0,Sectioning Equipment Check,Low,No,2026-09-26,0.5,Pending,19,0,2,3,Low,3,19.0
M204,Engineering,AST027,S06,25.1,Point Maintenance,Low,No,2026-09-29,0.5,Pending,22,0,2,3,Low,3,19.0
M080,Traction,AST094,S07,13.8,OHE Component Repair,Low,No,2026-10-04,1.0,Pending,27,0,2,3,Low,3,19.0
M114,S&T,AST053,S10,8.5,Interlocking Maintenance,Low,No,2026-09-24,1.0,Pending,17,0,2,3,Low,3,19.0
M257,Traction,AST075,S04,13.2,Sectioning Equipment Check,Low,No,2026-10-01,1.0,Pending,24,0,2,3,Low,3,19.0
M275,S&T,AST039,S03,3.7,Signal Inspection,Low,No,2026-10-03,1.0,Pending,26,0,2,3,Low,3,19.0
